Value,Disaggregation combinations using this value,Number of indicators
data.12 to 17 years,198,6
data.15 to 24 years,495,2
data.15 years and over,32,1
data.18 to 34 years,198,6
data.25 to 44 years,33,1
data.25 to 54 years,33,1
data.25 to 64 years,462,1
data.25 years and over,33,1
data.35 to 49 years,198,6
data.45 years and over,33,1
data.50 to 64 years,198,6
data.55 to 64 years,33,1
data.55 years and over,33,1
data.65 to 74 years,462,1
data.65 years and over,231,7
data.75 years and over,462,1
data.Ages 12 to 17,6,1
data.Ages 18 to 39,6,1
data.Ages 18 to 79,6,1
data.Ages 40 to 59,6,1
data.Ages 5 to 11,6,1
data.Ages 5 to 17,6,1
data.Ages 5 to 79,6,1
data.Ages 60 to 79,6,1
"data.Total, 12 years and over",192,6
"data.Total, persons aged 15 years and over",461,1
