Value,Disaggregation combinations using this value,Number of indicators
"data.Abbotsford - Mission (CMA), B.C.",9,1
data.Alberta,795,28
data.Atlantic Ocean,72,1
data.Atlantic provinces,20,1
data.Atlantic,1,1
"data.Barrie (CMA), Ont.",9,1
"data.Belleville - Quinte West (CMA), Ont.",9,1
"data.Brantford (CMA), Ont.",9,1
data.British Columbia,796,28
"data.Calgary, Alberta",20,1
"data.Calgary (CMA), Alta.",9,1
data.Canada,840,21
"data.Edmonton, Alberta",20,1
"data.Edmonton (CMA), Alta.",9,1
data.Great Lakes and St. Lawrence River,72,1
"data.Greater Sudbury (CMA), Ont.",9,1
"data.Guelph (CMA), Ont.",9,1
"data.Halifax (CMA), N.S.",9,1
"data.Hamilton (CMA), Ont.",9,1
data.Hudson Bay,72,1
"data.Kelowna (CMA), B.C.",9,1
"data.Kingston (CMA), Ont.",9,1
"data.Kitchener - Cambridge - Waterloo (CMA), Ont.",9,1
"data.Lethbridge (CMA), Alta.",9,1
"data.London (CMA), Ont.",9,1
data.Mackenzie River,72,1
data.Manitoba,777,27
"data.Moncton (CMA), N.B.",9,1
"data.Montréal (CMA), Que.",9,1
"data.Montréal, Quebec",20,1
data.New Brunswick,796,27
data.Newfoundland and Labrador,776,26
data.Northwest Territories,501,16
data.Nova Scotia,795,27
data.Nunavut,498,16
data.Ontario,796,28
"data.Oshawa (CMA), Ont.",9,1
"data.Ottawa - Gatineau (CMA), Ont./Que.",9,1
"data.Ottawa - Gatineau (Ontario part) (CMA), Ont.",9,1
"data.Ottawa-Gatineau, Ontario/Quebec",20,1
"data.Ottawa - Gatineau (Quebec part) (CMA), Que.",9,1
data.Pacific Ocean,82,1
"data.Peterborough (CMA), Ont.",9,1
data.Prairie provinces,20,1
data.Prince Edward Island,794,27
data.Quebec,778,27
"data.Québec (CMA), Que.",9,1
"data.Québec, Quebec",20,1
"data.Regina (CMA), Sask.",9,1
"data.Saguenay (CMA), Que.",9,1
"data.Saint John (CMA), N.B.",9,1
data.Saskatchewan,795,28
"data.Saskatoon (CMA), Sask.",9,1
"data.Sherbrooke (CMA), Que.",9,1
"data.St. Catharines - Niagara (CMA), Ont.",9,1
"data.St. John's (CMA), N.L.",9,1
"data.Thunder Bay (CMA), Ont.",9,1
"data.Toronto (CMA), Ont.",9,1
"data.Toronto, Ontario",20,1
"data.Trois-Rivières (CMA), Que.",9,1
"data.Vancouver, British Columbia",20,1
"data.Vancouver (CMA), B.C.",9,1
"data.Victoria (CMA), B.C.",9,1
"data.Windsor (CMA), Ont.",9,1
"data.Winnipeg (CMA), Man.",9,1
"data.Winnipeg, Manitoba",20,1
"data.Yukon, Northwest Territories and Nunavut",3,1
data.Yukon,501,16
