Value,Disaggregation combinations using this value,Number of indicators
12 to 17 years,33,1
15 to 19 years,42,1
15 to 24 years,378,2
18 to 24 years,42,1
18 to 34 years,33,1
20 to 24 years,42,1
25 to 29 years,42,1
25 to 34 years,210,1
25 to 64 years,336,1
30 to 34 years,210,1
35 to 44 years,210,1
35 to 49 years,33,1
45 to 54 years,210,1
50 to 64 years,33,1
55 to 64 years,210,1
65 to 74 years,336,1
65 years and over,33,1
75 years and over,336,1
Total - 12 years and over,33,1
Total 15 to 29 years,41,1
"Total, 25 to 64 years",210,1
Total persons aged 15 years and over,336,1
