Year,Géographie,data.Persons in low income,Value
2015,,,14.5
2016,,,12.8
2017,,,11.7
2018,,,11.0
2019,,,10.1
2015,Canada,data.Persons under 18 years,16.4
2016,Canada,data.Persons under 18 years,14.0
2017,Canada,data.Persons under 18 years,11.6
2018,Canada,data.Persons under 18 years,10.8
2019,Canada,data.Persons under 18 years,9.7
2015,Canada,data.Persons 18 to 64 years,15.7
2016,Canada,data.Persons 18 to 64 years,14.0
2017,Canada,data.Persons 18 to 64 years,13.2
2018,Canada,data.Persons 18 to 64 years,12.5
2019,Canada,data.Persons 18 to 64 years,11.6
2015,Canada,data.Persons 65 years and over,7.0
2016,Canada,data.Persons 65 years and over,7.0
2017,Canada,data.Persons 65 years and over,6.0
2018,Canada,data.Persons 65 years and over,5.6
2019,Canada,data.Persons 65 years and over,5.4
2015,Canada,Hommes,14.2
2016,Canada,Hommes,12.3
2017,Canada,Hommes,11.5
2018,Canada,Hommes,11.1
2019,Canada,Hommes,9.8
2015,Canada,"data.Males, under 18 years",16.1
2016,Canada,"data.Males, under 18 years",13.0
2017,Canada,"data.Males, under 18 years",11.5
2018,Canada,"data.Males, under 18 years",11.3
2019,Canada,"data.Males, under 18 years",9.6
2015,Canada,"data.Males, 18 to 64 years",15.4
2016,Canada,"data.Males, 18 to 64 years",13.5
2017,Canada,"data.Males, 18 to 64 years",12.9
2018,Canada,"data.Males, 18 to 64 years",12.5
2019,Canada,"data.Males, 18 to 64 years",11.2
2015,Canada,"data.Males, 65 years and over",6.0
2016,Canada,"data.Males, 65 years and over",6.3
2017,Canada,"data.Males, 65 years and over",5.4
2018,Canada,"data.Males, 65 years and over",5.0
2019,Canada,"data.Males, 65 years and over",4.7
2015,Canada,Femmes,14.8
2016,Canada,Femmes,13.3
2017,Canada,Femmes,11.9
2018,Canada,Femmes,10.9
2019,Canada,Femmes,10.4
2015,Canada,"data.Females, under 18 years",16.8
2016,Canada,"data.Females, under 18 years",15.1
2017,Canada,"data.Females, under 18 years",11.8
2018,Canada,"data.Females, under 18 years",10.2
2019,Canada,"data.Females, under 18 years",9.7
2015,Canada,"data.Females, 18 to 64 years",16.0
2016,Canada,"data.Females, 18 to 64 years",14.4
2017,Canada,"data.Females, 18 to 64 years",13.5
2018,Canada,"data.Females, 18 to 64 years",12.4
2019,Canada,"data.Females, 18 to 64 years",12.0
2015,Canada,"data.Females, 65 years and over",7.9
2016,Canada,"data.Females, 65 years and over",7.5
2017,Canada,"data.Females, 65 years and over",6.5
2018,Canada,"data.Females, 65 years and over",6.2
2019,Canada,"data.Females, 65 years and over",5.9
2015,Terre-Neuve-et-Labrador,data.All persons,13.1
2016,Terre-Neuve-et-Labrador,data.All persons,12.4
2017,Terre-Neuve-et-Labrador,data.All persons,11.4
2018,Terre-Neuve-et-Labrador,data.All persons,11.2
2019,Terre-Neuve-et-Labrador,data.All persons,10.7
2015,Terre-Neuve-et-Labrador,data.Persons under 18 years,15.3
